"_lf_markers_0","_lf_source","_lf_pubdates_fetch","_lf_pubdates_source","_lf_relations_0_type","_lf_relations_0_term","_lf_relations_0__lf_id_hash","_lf_media_0_id","_lf_media_0_type","_lf_media_0_term","_lf_media_0__lf_id_hash","_lf_downloads_0_type","_lf_downloads_0_term","_lf_downloads_0__lf_id_hash","_lf_downloads_0_location","_lf_downloads_0_sha256","_lf_id_fields_0","_lf_content_fields_0","user_name","user_screen_name","user_location","user_description","user_url","user_followers_count","user_friends_count","user_favourites_count","user_utc_offset","user_geo_enabled","user_verified","user_statuses_count","user_lang","user_profile_image_url_https","user_user_id","user_user_created_at","medias_0_id","medias_0_type","medias_0_term","retweet_count","favorite_count","lang","favorited","retweeted","tweet_id","tweet","tweet_time","_lf_id_hash","_lf_content_hash","_lf_links_0_type","_lf_links_0_term","_lf_links_0__lf_id_hash","urls_0_type","urls_0_term","_lf_relations_1_type","_lf_relations_1_term","_lf_relations_1__lf_id_hash","mentions_0_mention","mentions_0_name","mentions_0_id","_lf_downloads_1_type","_lf_downloads_1_term","_lf_downloads_1__lf_id_hash","_lf_downloads_1_location","_lf_downloads_1_sha256","_lf_relations_2_type","_lf_relations_2_term","_lf_relations_2__lf_id_hash","_lf_relations_3_type","_lf_relations_3_term","_lf_relations_3__lf_id_hash","mentions_1_mention","mentions_1_name","mentions_1_id","mentions_2_mention","mentions_2_name","mentions_2_id","_lf_links_1_type","_lf_links_1_term","_lf_links_1__lf_id_hash","urls_1_type","urls_1_term","hashtags_0_tag","hashtags_0_original_tag","query","_lf_relations_4_type","_lf_relations_4_term","_lf_relations_4__lf_id_hash","_lf_relations_5_type","_lf_relations_5_term","_lf_relations_5__lf_id_hash","_lf_relations_6_type","_lf_relations_6_term","_lf_relations_6__lf_id_hash","_lf_relations_7_type","_lf_relations_7_term","_lf_relations_7__lf_id_hash","_lf_relations_8_type","_lf_relations_8_term","_lf_relations_8__lf_id_hash","_lf_relations_9_type","_lf_relations_9_term","_lf_relations_9__lf_id_hash","_lf_relations_10_type","_lf_relations_10_term","_lf_relations_10__lf_id_hash","mentions_3_mention","mentions_3_name","mentions_3_id","mentions_4_mention","mentions_4_name","mentions_4_id","mentions_5_mention","mentions_5_name","mentions_5_id","mentions_6_mention","mentions_6_name","mentions_6_id","mentions_7_mention","mentions_7_name","mentions_7_id","mentions_8_mention","mentions_8_name","mentions_8_id","mentions_9_mention","mentions_9_name","mentions_9_id","mentions_10_mention","mentions_10_name","mentions_10_id"
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-16T19:00:14.000Z","url","https://pbs.twimg.com/ext_tw_video_thumb/953340733150367749/pu/img/hSnm2CEDcBVr6hEk.jpg:large","2b21c4b1781d75a2f2ba2d8cc3c1d34e5803c6dcc079f16b22ab0f7b92672742","953340733150367749","image","https://pbs.twimg.com/ext_tw_video_thumb/953340733150367749/pu/img/hSnm2CEDcBVr6hEk.jpg:large","ee72a4417d084ebefb8bde6c0e2c412d192bddc697b407fa0c5f21bd52a22c1a","image","https://pbs.twimg.com/ext_tw_video_thumb/953340733150367749/pu/img/hSnm2CEDcBVr6hEk.jpg:large","ee72a4417d084ebefb8bde6c0e2c412d192bddc697b407fa0c5f21bd52a22c1a","downloads/image/ee72a4417d084ebefb8bde6c0e2c412d192bddc697b407fa0c5f21bd52a22c1a/hSnm2CEDcBVr6hEk.jpg:large","5db215b3402b9b243380169381dc5779c9b854248261263b115b4c11cd909c41","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","953340733150367749","image","https://pbs.twimg.com/ext_tw_video_thumb/953340733150367749/pu/img/hSnm2CEDcBVr6hEk.jpg:large",202,1206,"pt",,,"953341139066802176","Prestigiando a Copa São Paulo de Futebol Júnior. Jogo entre Palmeiras e Vasco da Gama, no Joaquinzão (Taubaté-SP). https://t.co/gVFFHQxpRO","2018-01-16T19:00:14.000Z","a7ab138a3477a207fa94c86bcf99c9c34fced472f7da8ce2e103dfcbfae0d257","abbec3a17657091fb297d7464b4a56a6ae80e428754e73181390e8ad4f0ccd38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-16T16:55:47.000Z","url","https://twitter.com/i/web/status/953309820685377536","4b477ebfdde9cf2327a52ec0d0d940db975359151b394fd87f9ccde713e48c25","","","","","url","https://twitter.com/i/web/status/953309820685377536","4b477ebfdde9cf2327a52ec0d0d940db975359151b394fd87f9ccde713e48c25","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",249,1130,"pt",,,"953309820685377536","Jornal O Globo/ Extra tenta relacionar morte de promotor com curtidas na página de Bolsonaro..(até onde podem chega… https://t.co/D4xUnykw8t","2018-01-16T16:55:47.000Z","1f07f1015b0828f1aa6aa30b7ecf7202fd979a65cb9480a370fc41de1a7aac71","4d7b61e4c4d58224564b7cd5abce0f6aee3b1fbf2deb07e88bcea00635686c27","url","https://twitter.com/i/web/status/953309820685377536","4b477ebfdde9cf2327a52ec0d0d940db975359151b394fd87f9ccde713e48c25","url","https://twitter.com/i/web/status/953309820685377536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-16T16:11:38.000Z","url","https://twitter.com/i/web/status/953298710921916418","97003ad8a2681a3f95bb9044c5b44d59fdec263ab544f8eba84fe3896ea35ca0","","","","","url","https://twitter.com/i/web/status/953298710921916418","97003ad8a2681a3f95bb9044c5b44d59fdec263ab544f8eba84fe3896ea35ca0","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",452,1534,"pt",,,"953298710921916418","Os amigos do PT, PSOL e PCdoB, destilando “amor”, para não dizer o contrário, em cima dos que seguem qualquer relig… https://t.co/8YuS4mv1AP","2018-01-16T16:11:38.000Z","16d81e3cc5a25d2b3dbfc7399347568d2918e6b9f771994202256ca2f8fd6e5d","61fb8f5fce006e61922a3c0520afb96fa88049b3ea6f6d342f6919197914cd76","url","https://twitter.com/i/web/status/953298710921916418","97003ad8a2681a3f95bb9044c5b44d59fdec263ab544f8eba84fe3896ea35ca0","url","https://twitter.com/i/web/status/953298710921916418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-16T15:09:07.000Z","url","https://twitter.com/radaronline/status/953278314684342272","5d871ce240954fd562318bfc2484c65bb3811d8b223cf7f6fcffe0feaf3e9aec","","","","","url","https://twitter.com/radaronline/status/953278314684342272","5d871ce240954fd562318bfc2484c65bb3811d8b223cf7f6fcffe0feaf3e9aec","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",169,1107,"pt",,,"953282978473537537","Radar, sei que não foi a intenção, mas grato pela propaganda gratuita! Um grande abraço! https://t.co/oEuNRpCsVr","2018-01-16T15:09:07.000Z","f71e0844e7d62012ecc8668d130a9ca9d4a2542dc39c4849e6eae667988dd030","5b26e8880fc445b6c020f7586fc4252566e05d1f8b8d75d2663bab06e9219fa8","url","https://twitter.com/radaronline/status/953278314684342272","5d871ce240954fd562318bfc2484c65bb3811d8b223cf7f6fcffe0feaf3e9aec","url","https://twitter.com/radaronline/status/953278314684342272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-16T14:56:48.000Z","url","https://pbs.twimg.com/ext_tw_video_thumb/953279785471442944/pu/img/J18rQCmEHLSah4ae.jpg:large","7545d9b2e7bbbb5aa193735ce881a82d8f86f22f5bb8c41d4a20f20a8299df99","953279785471442944","image","https://pbs.twimg.com/ext_tw_video_thumb/953279785471442944/pu/img/J18rQCmEHLSah4ae.jpg:large","09944f49c43d229d28bbb182a22f9f377abb6f108afa237796870ae4b6d1cc16","image","https://pbs.twimg.com/ext_tw_video_thumb/953279785471442944/pu/img/J18rQCmEHLSah4ae.jpg:large","09944f49c43d229d28bbb182a22f9f377abb6f108afa237796870ae4b6d1cc16","downloads/image/09944f49c43d229d28bbb182a22f9f377abb6f108afa237796870ae4b6d1cc16/J18rQCmEHLSah4ae.jpg:large","dd87b85fe6729bbb4d9287f87885e572f25fb0ecb72a8a7e1c609a6612e8a6eb","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","953279785471442944","image","https://pbs.twimg.com/ext_tw_video_thumb/953279785471442944/pu/img/J18rQCmEHLSah4ae.jpg:large",205,1090,"pt",,,"953279878035656704","Autarquia do Ensino Superior de Garanhuns. Obrigado Pernambuco. https://t.co/FTSQ7Nfu8n","2018-01-16T14:56:48.000Z","ac320a1473374e5edf53d70c98317ea0b181ad2dcd2959d372530f3a47e32b59","a5c36ac67a138487352287a4a860f7e0c5676f72fec4d8db94a352f548eb9cba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-16T00:09:50.000Z","url","https://twitter.com/i/web/status/953056666299355136","6610c2141776559f835ef67a430b539cb9d8280c30c0465e08d83b905d8363e7","","","","","url","https://twitter.com/i/web/status/953056666299355136","6610c2141776559f835ef67a430b539cb9d8280c30c0465e08d83b905d8363e7","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",502,2363,"pt",,,"953056666299355136","Hoje, em Registro/SP, conversamos com produtores que mantêm a economia da região. Acompanhe como foi em nosso Faceb… https://t.co/FwuAt5AAtL","2018-01-16T00:09:50.000Z","736fc85e22fd053fc191dab72f25639e7a0b16b5b9e560000d0d6c8b84d869fb","58a65838c95c6ef0a31da7c2a38464aef7b6618fa5ef569259d582c68d3d20f0","url","https://twitter.com/i/web/status/953056666299355136","6610c2141776559f835ef67a430b539cb9d8280c30c0465e08d83b905d8363e7","url","https://twitter.com/i/web/status/953056666299355136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-15T16:56:59.000Z","url","https://twitter.com/i/web/status/952947733232586752","3592357fc197d959e54ffbfd408f103faa3d83d4280541e723acefe8109b0960","","","","","url","https://twitter.com/i/web/status/952947733232586752","3592357fc197d959e54ffbfd408f103faa3d83d4280541e723acefe8109b0960","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",235,1544,"pt",,,"952947733232586752","Hoje, às 18h30, na ABAVAR de Registro/SP, conversaremos com produtores que mantêm a economia da região. Acompanhe a… https://t.co/4gvA53HKut","2018-01-15T16:56:59.000Z","78b1187cb28bea5cd5dc87f53ae017d6a50eaa7f9dda7547ab8354887bf29485","2c093ea661b16ffeaa81baccaa190c40d1fea99306608e970634a32f012ead1b","url","https://twitter.com/i/web/status/952947733232586752","3592357fc197d959e54ffbfd408f103faa3d83d4280541e723acefe8109b0960","url","https://twitter.com/i/web/status/952947733232586752","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-15T16:10:20.000Z","url","https://tinyurl.com/ydxk4qx8","0727e2aebc2eb4cfcef48af38359a3e8318eb01e026dfc2825f3d95c34b9706a","","","","","url","https://tinyurl.com/ydxk4qx8","0727e2aebc2eb4cfcef48af38359a3e8318eb01e026dfc2825f3d95c34b9706a","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",66,549,"pt",,,"952935994512367616","Marcas da infância. Gerson marcou minha vida. https://t.co/qDgl7dvA0b","2018-01-15T16:10:20.000Z","6d5e8860ddf32e62b4f2bb580bd6219ed683d41f3187fcfa4eec6d0daaab0f24","91cdce706da1c34fbd46c57833b8a7e6e742dd3a381b6a28536e0c0b825bc610","url","https://tinyurl.com/ydxk4qx8","0727e2aebc2eb4cfcef48af38359a3e8318eb01e026dfc2825f3d95c34b9706a","url","https://tinyurl.com/ydxk4qx8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-15T14:35:47.000Z","url","https://twitter.com/i/web/status/952912199822999553","183fe720acdd5f37f7fc0c735c61164f07094c214cb49a17eec0ca968a11a08c","","","","","url","https://twitter.com/i/web/status/952912199822999553","183fe720acdd5f37f7fc0c735c61164f07094c214cb49a17eec0ca968a11a08c","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",79,705,"pt",,,"952912199822999553","Aniversário do 14º Batalhão de Polícia Militar do Interior - “Capitão Alberto Mendes Júnior” Registro/SP.… https://t.co/VU39ByEB6Y","2018-01-15T14:35:47.000Z","cbd352b2708d197dafca3bb578b2b69e69c397224498d56e74e122e574c2b3fb","519ad2d2150ae264517ce61caeffdd0f9171f8d599f5303259e81f08c60ce206","url","https://twitter.com/i/web/status/952912199822999553","183fe720acdd5f37f7fc0c735c61164f07094c214cb49a17eec0ca968a11a08c","url","https://twitter.com/i/web/status/952912199822999553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-15T12:19:19.000Z","url","https://twitter.com/i/web/status/952877856861884417","52764167b7e99f129d599428a449af981b90117e5e51776e144c0c5e000f99f8","","","","","url","https://twitter.com/i/web/status/952877856861884417","52764167b7e99f129d599428a449af981b90117e5e51776e144c0c5e000f99f8","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",1498,4407,"pt",,,"952877856861884417","Lula despacha assessores para a Etiópia a partir do dia 23 de janeiro, como expõe publicação do Diário Oficial da U… https://t.co/335lWuaNiV","2018-01-15T12:19:19.000Z","6d4e7e936960001f1899639c29f1cb9c7bf268be9036fe58e75dc218bdca8dfd","0ad2c74b630bf425e8856775e489bcda2e33d00476f45275e6e183043f3bac97","url","https://twitter.com/i/web/status/952877856861884417","52764167b7e99f129d599428a449af981b90117e5e51776e144c0c5e000f99f8","url","https://twitter.com/i/web/status/952877856861884417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-14T21:50:06.000Z","url","https://twitter.com/i/web/status/952659111300214784","940f32bc8b0671800c7cf52af487d3c80428f852833feabbe233b71efb1d7ddf","","","","","url","https://twitter.com/i/web/status/952659111300214784","940f32bc8b0671800c7cf52af487d3c80428f852833feabbe233b71efb1d7ddf","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",2238,11058,"pt",,,"952659111300214784","Não tenho nada a ver com a vida privada de quem quer que seja, nem incentivo ofensivas neste sentido. Há anos me at… https://t.co/NlQAiTYn4f","2018-01-14T21:50:06.000Z","b43d53c6e7c39cfaaa5e60c25619212627785ae9c2051e18d5d09e0019af81eb","aaac0bbdbe532d4b153e962333160b222700460472f1646924d5bf1760febb8d","url","https://twitter.com/i/web/status/952659111300214784","940f32bc8b0671800c7cf52af487d3c80428f852833feabbe233b71efb1d7ddf","url","https://twitter.com/i/web/status/952659111300214784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-14T19:07:00.000Z","url","https://twitter.com/i/web/status/952618065669304320","bfe5a207eef4398d8c7df55e4016a1b3c49b1fc467ad1ccfb28921648023f6f7","","","","","url","https://twitter.com/i/web/status/952618065669304320","bfe5a207eef4398d8c7df55e4016a1b3c49b1fc467ad1ccfb28921648023f6f7","","","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","","","",674,3476,"pt",,,"952618065669304320","Segundo a Revista Veja sou o principal beneficiado com as fakenews, pois as notícias seriam a meu favor! 😂😂😂. Tá, o… https://t.co/rgUH0kWvpt","2018-01-14T19:07:00.000Z","c1a66dc9790de4294913d557dd840c807de06149a82a6b51b4e43c60361c5d2a","d78a0db4e870684029b9741a1db6e431c79cd5fa7ce82f116f643d6d115530df","url","https://twitter.com/i/web/status/952618065669304320","bfe5a207eef4398d8c7df55e4016a1b3c49b1fc467ad1ccfb28921648023f6f7","url","https://twitter.com/i/web/status/952618065669304320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-14T18:45:17.000Z","url","https://pbs.twimg.com/ext_tw_video_thumb/952612237277040640/pu/img/ofrdIJnWFEBqi-Un.jpg:large","3f13773e9011d001cd52b2e661c8f10ff9a09f5c176c609f37c20eb9a50eb9dd","952612237277040640","image","https://pbs.twimg.com/ext_tw_video_thumb/952612237277040640/pu/img/ofrdIJnWFEBqi-Un.jpg:large","86e40a8f0df8df37a8a29b556f3f697376af4ce64396fb29ec624155ca4343ca","image","https://pbs.twimg.com/ext_tw_video_thumb/952612237277040640/pu/img/ofrdIJnWFEBqi-Un.jpg:large","86e40a8f0df8df37a8a29b556f3f697376af4ce64396fb29ec624155ca4343ca","downloads/image/86e40a8f0df8df37a8a29b556f3f697376af4ce64396fb29ec624155ca4343ca/ofrdIJnWFEBqi-Un.jpg:large","047ec0a4d4b5c3281246ea2d446b2bf0857f7d552aa7b5b397a7739775a0f0ad","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","952612237277040640","image","https://pbs.twimg.com/ext_tw_video_thumb/952612237277040640/pu/img/ofrdIJnWFEBqi-Un.jpg:large",364,1790,"pt",,,"952612599518126080","Obrigado meu Nordeste Endireita Natal e Grupo RadarRN. https://t.co/L3twxZN66Q","2018-01-14T18:45:17.000Z","d74699fd6da31a4a87a810b6a86c34c7c5f8c14a180fef860be43eff85985ebb","9529540f709d2ea5e6c5a76641660e1aa582fb85a00f4347c23dfd9fa17d14ad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-14T16:08:48.000Z","url","https://pbs.twimg.com/ext_tw_video_thumb/952572005349576704/pu/img/6WPtSjF9YDyK49tv.jpg:large","8dec36e66f2050ed6ee68b94d9f4d8ebd2a0d42e2aec9aaf652b75e3faf40889","952572005349576704","image","https://pbs.twimg.com/ext_tw_video_thumb/952572005349576704/pu/img/6WPtSjF9YDyK49tv.jpg:large","6d5d95eee3d8769f3b60ee5c07121a04a6fea1cee1f428ba174b3a44ad9f53c3","image","https://pbs.twimg.com/ext_tw_video_thumb/952572005349576704/pu/img/6WPtSjF9YDyK49tv.jpg:large","6d5d95eee3d8769f3b60ee5c07121a04a6fea1cee1f428ba174b3a44ad9f53c3","downloads/image/6d5d95eee3d8769f3b60ee5c07121a04a6fea1cee1f428ba174b3a44ad9f53c3/6WPtSjF9YDyK49tv.jpg:large","2c0f15adc479210809d895151716bcc199f310444391158e0050fe8b203866fd","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","952572005349576704","image","https://pbs.twimg.com/ext_tw_video_thumb/952572005349576704/pu/img/6WPtSjF9YDyK49tv.jpg:large",395,2455,"pt",,,"952573222029025280","- Bolsonaro em Eldorado Paulista. - Velhos amigos e boas recordações. - Jair e as jabuticabas... kkk https://t.co/mF91qrtCs5","2018-01-14T16:08:48.000Z","ab30d0d39f36805da7449a050c74b86a761d63fcbc997005a13d6af9d93fbe5b","6805155459948fe4c847740eb5b57e97ebeb0df1d463d71da7d966b375f7afa8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hy2sqRjEf","twitter_feed","2018-01-16T20:03:47.301Z","2018-01-14T13:56:55.000Z","url","https://pbs.twimg.com/media/DTgaGYcW4AAE7vO.jpg:large","45286697a6a52989a025087717bbceea20b9be803e86e035337b485fc556b2ac","952540018131787776","image","https://pbs.twimg.com/media/DTgaGYcW4AAE7vO.jpg:large","ebf0755bcbef1633b4d832b0ea7ee0a88829b9e805ba0666c52ca139fec30276","image","https://pbs.twimg.com/media/DTgaGYcW4AAE7vO.jpg:large","ebf0755bcbef1633b4d832b0ea7ee0a88829b9e805ba0666c52ca139fec30276","downloads/image/ebf0755bcbef1633b4d832b0ea7ee0a88829b9e805ba0666c52ca139fec30276/DTgaGYcW4AAE7vO.jpg:large","3b933afec2faab07e586933c8495090f14d49b6c91ecefbf91bf1210a10962c4","tweet_id","tweet","Jair Bolsonaro","jairbolsonaro","Rio de Janeiro, Brasil","Capitão do Exército Brasileiro, Deputado Federal eleito pelo RJ. Info: 21-38142118","http://t.co/bqpNS6l0al",860696,179,737,-7200,1,1,3790,"pt","https://pbs.twimg.com/profile_images/783363513439879168/-FquKJ9y_normal.jpg","128372940","2010-03-31T23:13:44.000Z","952540018131787776","image","https://pbs.twimg.com/media/DTgaGYcW4AAE7vO.jpg:large",447,1874,"pt",,,"952540030341468161","Seguimos adiante, para a Direita e para cima! 👍🏻 https://t.co/YOHQ17DpnH","2018-01-14T13:56:55.000Z","591b9d2832560c28d2a4b76ffe00114defffa05fed20fb9f04b49a3156254804","ef8cc85aaa39922a21fba4346660baf185fae2fa9afc65528236fba7836e1d78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
